Latitude,Longitude,GeoidHeight
17,103,-32.1
18,103,-34.03
19,103,-32.35
20,103,-33.41
21,103,-34.47
22,103,-35.74
23,103,-35.47
24,103,-35.51
25,103,-35.04
0,104,6.43
1,104,5.3
2,104,4.02
3,104,2.17
4,104,-0.19
5,104,-2.33
6,104,-5.92
7,104,-8.43
8,104,-10.43
9,104,-12.92
10,104,-15.33
11,104,-17.18
12,104,-19.75
13,104,-22.5
14,104,-23.81
15,104,-27.14
16,104,-29.37
17,104,-29.38
18,104,-32.08
19,104,-29.94
20,104,-31.21
21,104,-33.04
22,104,-32.89
23,104,-34.37
24,104,-33.8
25,104,-33.75
0,105,10.37
1,105,8.88
2,105,7.74
3,105,5.81
4,105,2.72
5,105,0.01
6,105,-2.57
7,105,-4.72
8,105,-6.88
9,105,-9.69
10,105,-12.2
11,105,-14.9
12,105,-16.49
13,105,-18.6
14,105,-20.51
15,105,-23.5
16,105,-25.94
17,105,-27.67
18,105,-27.86
19,105,-28.83
20,105,-28.62
21,105,-30.73
22,105,-32.98
23,105,-32.99
24,105,-33.06
25,105,-34.04
0,106,13.31
1,106,12.23
2,106,10.89
3,106,9
4,106,6.12
5,106,3.81
6,106,2.03
7,106,-0.26
8,106,-3.49
9,106,-6.26
10,106,-8.28
11,106,-10.46
12,106,-12.54
13,106,-14.58
14,106,-16.45
15,106,-19.5
16,106,-21.56
17,106,-23.19
18,106,-24.92
19,106,-27.01
20,106,-28.14
21,106,-30.53
22,106,-31
23,106,-30.99
24,106,-32.39
25,106,-33.6
0,107,17.29
1,107,16.18
2,107,15.01
3,107,13.19
4,107,10.58
5,107,7.61
6,107,5.49
7,107,3.13
8,107,0.63
9,107,-1.88
10,107,-4.79
11,107,-6.1
12,107,-7.89
13,107,-10.27
14,107,-12.61
15,107,-15.22
16,107,-16.59
17,107,-19.87
18,107,-23.41
19,107,-25.5
20,107,-26.78
21,107,-27.4
22,107,-28.59
23,107,-29.64
24,107,-30.59
25,107,-31.53
0,108,20.8
1,108,20.14
2,108,18.17
3,108,16.73
4,108,14.86
5,108,12.49
6,108,9.98
7,108,6.87
8,108,3.94
9,108,2.51
10,108,-0.76
11,108,-2.08
12,108,-2.24
13,108,-5.54
14,108,-7.54
15,108,-8.93
16,108,-13.42
17,108,-17.76
18,108,-20.06
19,108,-22.12
20,108,-24.59
21,108,-25.09
22,108,-25.9
23,108,-27.62
24,108,-28.58
25,108,-29.67
0,109,25.19
1,109,23.77
2,109,22
3,109,20
4,109,17.85
5,109,15.46
6,109,13.1
7,109,10.88
8,109,8.78
9,109,6.69
10,109,3.96
11,109,1.75
12,109,0.79
13,109,-2.31
14,109,-5.53
15,109,-8.75
16,109,-11.91
17,109,-14
18,109,-16.59
19,109,-16.48
20,109,-20.71
21,109,-22.46
22,109,-23.13
23,109,-24.59
24,109,-25.75
25,109,-27.31
0,110,28.82
1,110,28.38
2,110,25.89
3,110,23.63
4,110,21.38
5,110,18.73
6,110,17.1
7,110,13.54
8,110,12.26
9,110,9.17
10,110,7.12
11,110,4.97
12,110,2.01
13,110,-0.4
14,110,-3.3
15,110,-6.05
16,110,-9.46
17,110,-11.1
18,110,-12.39
19,110,-12.69
20,110,-16.34
21,110,-18.25
22,110,-20.24
23,110,-21.46
24,110,-22.24
25,110,-24.19
0,111,31.92
1,111,31.43
2,111,29.66
3,111,27.31
4,111,25.29
5,111,22.79
6,111,19.96
7,111,17.52
8,111,16.04
9,111,13.68
10,111,10.61
11,111,7.91
12,111,4.85
13,111,2.49
14,111,-0.27
15,111,-2.07
16,111,-4.38
17,111,-8.25
18,111,-9.98
19,111,-10.15
20,111,-12.19
21,111,-14.1
22,111,-16.65
23,111,-17.9
24,111,-19.28
25,111,-20.3
0,112,35.39
1,112,35.38
2,112,33.62
3,112,30.91
4,112,28.93
5,112,26.87
6,112,24.01
7,112,21.68
8,112,20.31
9,112,18.27
10,112,15.22
11,112,12.08
12,112,9.54
13,112,6.7
14,112,4.78
15,112,2.14
16,112,-0.13
17,112,-3.06
18,112,-6.95
19,112,-6.8
20,112,-8.98
21,112,-11.12
22,112,-13.18
23,112,-14.6
24,112,-16.28
25,112,-16.64
0,113,39.6
1,113,39.33
2,113,37.58
3,113,35.67
4,113,32.43
5,113,30.42
6,113,26.97
7,113,26.43
8,113,24.47
9,113,21.98
10,113,20.09
11,113,16.18
12,113,13.19
13,113,11.01
14,113,8.59
15,113,5.55
16,113,3.42
17,113,0.72
18,113,-2.75
19,113,-3.34
20,113,-5.24
21,113,-7.49
22,113,-9.48
23,113,-10.87
24,113,-13.02
