COUNTRY,GDP(BILLIONS),CODE,Name,WHORegion,Cases-cumulativetotal,Cases-cumulativetotalper100000population,Cases-newlyreportedinlast7days,Cases-newlyreportedinlast7daysper100000population,Cases-newlyreportedinlast24hours,Deaths-cumulativetotal,Deaths-cumulativetotalper100000population,Deaths-newlyreportedinlast7days,Deaths-newlyreportedinlast7daysper100000population,Deaths-newlyreportedinlast24hours
Montenegro,4.66,MNE,Montenegro,Europe,134193,21366.2,2704,430.53,439,1965,312.87,46,7.32,11
Morocco,112.6,MAR,Morocco,Eastern Mediterranean,936963,2538.47,3892,10.54,0,14390,38.99,123,0.33,0
Mozambique,16.59,MOZ,Mozambique,Africa,150899,482.79,176,0.56,25,1919,6.14,2,0.01,0
Myanmar (Burma),65.29,MMR,NA,NA,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Namibia,13.11,NAM,Namibia,Africa,127989,5037.14,400,15.74,33,3523,138.65,12,0.47,3
Nepal,19.64,NPL,Nepal,South-East Asia,800997,2749.09,5038,17.29,715,11210,38.47,62,0.21,10
Netherlands,880.4,NLD,Netherlands,Europe,2016171,11582.14,13208,75.87,2760,18200,104.55,30,0.17,6
New Caledonia,11.1,NCL,New Caledonia,Western Pacific,8860,3103.35,1432,501.58,204,185,64.8,66,23.12,8
New Zealand,201,NZL,New Zealand,Western Pacific,4169,86.45,234,4.85,47,28,0.58,1,0.02,1
Nicaragua,11.85,NIC,Nicaragua,Americas,11739,177.2,466,7.03,0,205,3.09,1,0.02,0
Niger,8.29,NER,Niger,Africa,6084,25.13,60,0.25,19,204,0.84,2,0.01,0
Nigeria,594.3,NGA,Nigeria,Africa,207210,100.52,1445,0.7,649,2742,1.33,21,0.01,11
Niue,0.01,NIU,Niue,Western Pacific,0,0,0,0,0,0,0,0,0,0
Northern Mariana Islands,1.23,MNP,NA,NA,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Norway,511.6,NOR,Norway,Europe,192077,3578.47,2348,43.74,0,871,16.23,9,0.17,0
Oman,80.54,OMN,Oman,Eastern Mediterranean,303915,5951.39,146,2.86,20,4101,80.31,5,0.1,0
Pakistan,237.5,PAK,Pakistan,Eastern Mediterranean,1255321,568.3,10194,4.61,1453,28032,12.69,303,0.14,46
Palau,0.65,PLW,Palau,Western Pacific,5,27.64,0,0,0,0,0,0,0,0
Panama,44.69,PAN,Panama,Americas,468325,10854,1474,34.16,211,7255,168.14,32,0.74,5
Papua New Guinea,16.1,PNG,Papua New Guinea,Western Pacific,22413,250.51,1958,21.88,517,245,2.74,11,0.12,2
Paraguay,31.3,PRY,Paraguay,Americas,460113,6450.9,165,2.31,29,16205,227.2,10,0.14,1
Peru,208.2,PER,Peru,Americas,2181183,6615.29,5878,17.83,1034,199559,605.24,192,0.58,39
Philippines,284.6,PHL,Philippines,Western Pacific,2632881,2402.68,82960,75.71,9964,38937,35.53,643,0.59,109
Poland,552.2,POL,Poland,Europe,2918863,7689.69,10431,27.48,1894,75834,199.78,168,0.44,31
Portugal,228.2,PRT,Portugal,Europe,1073268,10424.22,3989,38.74,731,18019,175.01,44,0.43,11
Puerto Rico,93.52,PRI,Puerto Rico,Americas,182144,6366.77,957,33.45,210,3182,111.23,33,1.15,7
Qatar,212,QAT,Qatar,Eastern Mediterranean,237147,8231.26,504,17.49,0,606,21.03,0,0,0
Romania,199,ROU,Romania,Europe,1332221,6892.4,87666,453.55,13854,38927,201.39,1695,8.77,385
Russia,2057,RUS,NA,NA,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Rwanda,8,RWA,Rwanda,Africa,98345,759.29,828,6.39,136,1297,10.01,24,0.19,1
Saint Kitts and Nevis,0.81,KNA,Saint Kitts and Nevis,Americas,2246,4222.44,298,560.23,173,16,30.08,3,5.64,0
Saint Lucia,1.35,LCA,Saint Lucia,Americas,11833,6444.04,374,203.67,106,215,117.09,14,7.62,0
Saint Martin,0.56,MAF,Saint Martin,Americas,3819,9878.68,24,62.08,0,36,93.12,1,2.59,0
Saint Pierre and Miquelon,0.22,SPM,Saint Pierre and Miquelon,Americas,32,552.2,1,17.26,0,0,0,0,0,0
Saint Vincent and the Grenadines,0.75,VCT,Saint Vincent and the Grenadines,Americas,3965,3574,457,411.93,99,33,29.75,12,10.82,0
Samoa,0.83,WSM,Samoa,Western Pacific,1,0.5,0,0,0,0,0,0,0,0
San Marino,1.86,SMR,San Marino,Europe,5466,16105.84,26,76.61,2,91,268.14,0,0,0
