,pop_F,pop_M,pop_MF,hholds,fullname,leaf_value1
1748,22326,23117,45443,21029,อภ.ท้ายเหมือง,1
1749,18737,18745,37482,11413,อภ.ธวัชบุรี,1
1750,36351,35657,72008,22165,อภ.ธาตุพนม,1
1751,11606,12691,24297,9150,อภ.ธารโต,1
1752,53249,48201,101450,39698,อภ.นครชัยศรี,1
1753,11449,10491,21940,11490,อภ.นครหลวง,1
1754,33736,33324,67060,23890,อภ.นครไทย,1
1755,16798,16864,33662,12161,อภ.นบพิตำ,1
1756,33261,33605,66866,18752,อภ.นากลาง,1
1757,12853,12864,25717,8236,อภ.นาคู,1
1758,47336,45837,93173,26618,อภ.นางรอง,1
1759,25441,26106,51547,18190,อภ.นาจะหลวย,1
1760,22127,21985,44112,17963,อภ.นาดี,1
1761,16353,16283,32636,8702,อภ.นาดูน,1
1762,4901,4951,9852,3658,อภ.นาด้วง,1
1763,19215,19200,38415,11428,อภ.นาตาล,1
1764,11797,11923,23720,7546,อภ.นาทม,1
1765,31233,31959,63192,19744,อภ.นาทวี,1
1766,14803,14903,29706,10457,อภ.นาน้อย,1
1767,12216,11962,24178,8605,อภ.นาบอน,1
1768,14845,14674,29519,9448,อภ.นามน,1
1769,15942,14882,30824,12103,อภ.นายายอาม,1
1770,14191,14487,28678,9841,อภ.นายูง,1
1771,15165,15209,30374,8742,อภ.นาวัง,1
1772,7054,7202,14256,4496,อภ.นาหมื่น,1
1773,11900,11073,22973,9215,อภ.นาหม่อม,1
1774,19990,19982,39972,13344,อภ.นาหว้า,1
1775,28629,28496,57125,17392,อภ.นาเชือก,1
1776,10129,10847,20976,7197,อภ.นาเยีย,1
1777,36445,35876,72321,21724,อภ.นาแก,1
1778,4832,4843,9675,3110,อภ.นาแห้ว,1
1779,14414,14100,28514,8008,อภ.นาโพธิ์,1
1780,21262,19948,41210,13627,อภ.นาโยง,1
1781,17077,17028,34105,10180,อภ.นิคมคำสร้อย,1
1782,7440,7447,14887,4634,อภ.นิคมน้ำอูน,1
