,pop_F,pop_M,pop_MF,hholds,fullname,leaf_value1
2097,29134,29444,58578,21570,อภ.สะเดา,1
2098,8992,9357,18349,6151,อภ.สะเมิง,1
2099,20463,21928,42391,12329,อภ.สังขละบุรี,1
2100,63308,63895,127203,34939,อภ.สังขะ,1
2101,11011,11307,22318,7274,อภ.สังคม,1
2102,26615,26828,53443,29607,อภ.สัตหีบ,1
2103,22773,20265,43038,22905,อภ.สันกำแพง,1
2104,7618,8063,15681,5181,อภ.สันติสุข,1
2105,10943,9682,20625,10391,อภ.สันทราย,1
2106,31548,27993,59541,25867,อภ.สันป่าตอง,1
2107,9092,8939,18031,6158,อภ.สากเหล็ก,1
2108,12964,12722,25686,8813,อภ.สามง่าม,1
2109,12535,12886,25421,7670,อภ.สามชัย,1
2110,20635,19057,39692,14969,อภ.สามชุก,1
2111,52399,47339,99738,49870,อภ.สามพราน,1
2112,15969,15668,31637,12565,อภ.สามร้อยยอด,1
2113,12993,12595,25588,9545,อภ.สามเงา,1
2114,4341,4063,8404,2868,อภ.สามโก้,1
2115,23276,21708,44984,20052,อภ.สามโคก,1
2116,29139,27869,57008,13731,อภ.สายบุรี,1
2117,25170,22026,47196,23256,อภ.สารภี,1
2118,27048,27172,54220,14887,อภ.สำโรง,1
2119,25047,25282,50329,11915,อภ.สำโรงทาบ,1
2120,22652,21593,44245,14937,อภ.สิงหนคร,1
2121,41100,40556,81656,29288,อภ.สิชล,1
2122,21375,22157,43532,14622,อภ.สิรินธร,1
2123,17273,17629,34902,12677,อภ.สิเกา,1
2124,43707,43013,86720,32549,อภ.สีคิ้ว,1
2125,37197,36668,73865,22555,อภ.สีชมพู,1
2126,10051,10020,20071,5991,อภ.สีดา,1
2127,7191,7187,14378,4625,อภ.สุขสำราญ,1
2128,11345,11768,23113,7476,อภ.สุคิริน,1
2129,26877,26984,53861,15216,อภ.สุวรรณคูหา,1
2130,53011,52311,105322,29971,อภ.สุวรรณภูมิ,1
2131,24484,23867,48351,12305,อภ.สุไหงปาดี,1
2132,19608,18320,37928,11249,อภ.สุไหงโกลก,1
2133,37141,35447,72588,29838,อภ.สูงเนิน,1
2134,35963,32848,68811,28058,อภ.สูงเม่น,1
2135,14571,15036,29607,7746,อภ.ส่องดาว,1
2136,28515,28838,57353,15549,อภ.หนองกี่,1
2137,25619,25529,51148,15467,อภ.หนองกุงศรี,1
2138,8075,7263,15338,5871,อภ.หนองขาหย่าง,1
2139,29927,29692,59619,13667,อภ.หนองจิก,1
2140,17539,16524,34063,11925,อภ.หนองฉาง,1
2141,11944,11781,23725,6753,อภ.หนองนาคำ,1
2142,27384,26876,54260,23489,อภ.หนองบัว,1
2143,16237,16446,32683,11666,อภ.หนองบัวระเหว,1
2144,46428,46657,93085,29973,อภ.หนองบัวแดง,1
2145,30699,30065,60764,18709,อภ.หนองบุญมาก,1
2146,13361,13782,27143,9603,อภ.หนองปรือ,1
2147,29947,30087,60034,16633,อภ.หนองพอก,1
2148,6485,6273,12758,5148,อภ.หนองมะโมง,1
2149,14236,13637,27873,11570,อภ.หนองม่วง,1
2150,6780,5984,12764,5078,อภ.หนองม่วงไข่,1
2151,22432,22444,44876,11752,อภ.หนองวัวซอ,1
2152,35776,35294,71070,20852,อภ.หนองสองห้อง,1
2153,10424,10381,20805,7306,อภ.หนองสูง,1
2154,17582,17856,35438,9436,อภ.หนองหงส์,1
2155,8170,8200,16370,6907,อภ.หนองหญ้าปล้อง,1
2156,23691,22587,46278,16597,อภ.หนองหญ้าไซ,1
2157,44461,44381,88842,27539,อภ.หนองหาน,1
2158,10172,10391,20563,6126,อภ.หนองหิน,1
2159,12211,12164,24375,6543,อภ.หนองฮี,1
2160,42321,41239,83560,23207,อภ.หนองเรือ,1
2161,26187,25759,51946,16849,อภ.หนองเสือ,1
2162,35066,33044,68110,34229,อภ.หนองแค,1
2163,6819,6214,13033,4465,อภ.หนองแซง,1
2164,11643,11593,23236,6851,อภ.หนองแสง,1
2165,5935,5626,11561,4491,อภ.หนองโดน,1
2166,7690,7699,15389,6725,อภ.หนองใหญ่,1
2167,38215,37796,76011,25261,อภ.หนองไผ่,1
2168,28645,27460,56105,24182,อภ.หลังสวน,1
2169,73840,70205,144045,49318,อภ.หล่มสัก,1
2170,30493,29157,59650,18966,อภ.หล่มเก่า,1
2171,9917,9928,19845,6354,อภ.หว้านใหญ่,1
2172,21166,19814,40980,14689,อภ.หันคา,1
2173,21084,21189,42273,11048,อภ.หัวตะพาน,1
2174,28102,26237,54339,29376,อภ.หัวหิน,1
2175,22152,21888,44040,17883,อภ.หัวไทร,1
2176,40482,35917,76399,44629,อภ.หางดง,1
2177,8396,8485,16881,4938,อภ.หาดสำราญ,1
2178,16199,14956,31155,13212,อภ.หาดใหญ่,1
2179,17188,16664,33852,11963,อภ.ห้วยกระเจา,1
2180,10180,9951,20131,7500,อภ.ห้วยคต,1
2181,19427,19501,38928,9033,อภ.ห้วยทับทัน,1
2182,7112,6957,14069,3982,อภ.ห้วยผึ้ง,1
2183,39808,38714,78522,26971,อภ.ห้วยยอด,1
2184,16355,16144,32499,8283,อภ.ห้วยราช,1
2185,19998,20106,40104,12207,อภ.ห้วยเม็ก,1
2186,35008,35347,70355,19638,อภ.ห้วยแถลง,1
2187,24219,23135,47354,19514,อภ.ห้างฉัตร,1
2188,31704,30798,62502,22400,อภ.องครักษ์,1
2189,30391,30952,61343,22855,อภ.อมก๋อย,1
2190,37812,36705,74517,36739,อภ.อรัญประเทศ,1
2191,24866,22932,47798,15811,อภ.อัมพวา,1
2192,26910,27215,54125,19274,อภ.อากาศอำนวย,1
2193,34883,34807,69690,19076,อภ.อาจสามารถ,1
2194,25320,23357,48677,17754,อภ.อินทร์บุรี,1
2195,24232,22345,46577,21869,อภ.อุทัย,1
2196,51473,50840,102313,26546,อภ.อุทุมพรพิสัย,1
2197,15908,15513,31421,8333,อภ.อุบลรัตน์,1
2198,21191,22923,44114,11377,อภ.อุ้มผาง,1
2199,33434,31610,65044,21560,อภ.อู่ทอง,1
2200,23556,23276,46832,16649,อภ.อ่าวลึก,1
2201,12874,12563,25437,9735,อภ.ฮอด,1
2202,36778,36677,73455,21087,อภ.เกษตรวิสัย,1
2203,42935,42490,85425,25288,อภ.เกษตรสมบูรณ์,1
2204,1281,1398,2679,2080,อภ.เกาะกูด,1
2205,18612,17409,36021,13312,อภ.เกาะคา,1
2206,12985,13641,26626,8668,อภ.เกาะจันทร์,1
2207,4303,4261,8564,6081,อภ.เกาะช้าง,1
2208,5382,5572,10954,12409,อภ.เกาะพะงัน,1
2209,6798,6909,13707,5409,อภ.เกาะยาว,1
2210,17257,17684,34941,14812,อภ.เกาะลันตา,1
2211,14588,13892,28480,10614,อภ.เก้าเลี้ยว,1
2212,15844,15880,31724,9139,อภ.เขมราฐ,1
2213,17373,16950,34323,10105,อภ.เขวาสินรินทร์,1
2214,6494,6297,12791,5570,อภ.เขาคิชฌกูฏ,1
2215,17820,17743,35563,12257,อภ.เขาค้อ,1
2216,25458,25592,51050,16425,อภ.เขาฉกรรจ์,1
2217,11889,11760,23649,11135,อภ.เขาชะเมา,1
2218,15839,15200,31039,11616,อภ.เขาชัยสน,1
2219,25072,25217,50289,18186,อภ.เขาพนม,1
2220,12089,11460,23549,10382,อภ.เขาย้อย,1
2221,10552,10422,20974,8633,อภ.เขาวง,1
2222,20078,19898,39976,17947,อภ.เขาสมิง,1
2223,10729,10721,21450,6439,อภ.เขาสวนกวาง,1
2224,51752,50796,102548,28149,อภ.เขื่องใน,1
2225,13850,13877,27727,11336,อภ.เคียนซา,1
2226,19031,19331,38362,10663,อภ.เจริญศิลป์,1
2227,20615,20467,41082,9843,อภ.เจาะไอร้อง,1
2228,15343,14557,29900,12813,อภ.เฉลิมพระเกียรติ,1
2229,15870,15173,31043,9512,อภ.เฉลิมพระเกียรติ,1
2230,6073,6005,12078,3553,อภ.เฉลิมพระเกียรติ,1
2231,4812,5020,9832,3414,อภ.เฉลิมพระเกียรติ,1
2232,11217,11099,22316,8017,อภ.เฉลิมพระเกียรติ,1
2233,8808,8702,17510,5846,อภ.เชียงกลาง,1
2234,13927,13438,27365,8270,อภ.เชียงขวัญ,1
2235,12815,12369,25184,10607,อภ.เชียงของ,1
2236,19216,18979,38195,14168,อภ.เชียงคาน,1
2237,27815,27682,55497,21595,อภ.เชียงคำ,1
2238,14052,13468,27520,11569,อภ.เชียงดาว,1
2239,4906,4798,9704,3950,อภ.เชียงม่วน,1
2240,28355,27586,55941,18209,อภ.เชียงยืน,1
2241,25214,23967,49181,21673,อภ.เชียงแสน,1
2242,20164,20217,40381,14599,อภ.เชียรใหญ่,1
2243,36429,36960,73389,23157,อภ.เซกา,1
2244,65547,66388,131935,51589,อภ.เดชอุดม,1
2245,21508,20061,41569,15342,อภ.เดิมบางนางบวช,1
2246,9591,10116,19707,8441,อภ.เด่นชัย,1
2247,12155,12196,24351,8728,อภ.เต่างอย,1
2248,16908,16489,33397,11484,อภ.เถิน,1
2249,32476,33104,65580,24073,อภ.เทพสถิต,1
2250,29419,31166,60585,16826,อภ.เทพา,1
2251,12564,12733,25297,8603,อภ.เทพารักษ์,1
2252,37711,37073,74784,29079,อภ.เทิง,1
2253,5500,5291,10791,4000,อภ.เนินขาม,1
2254,19336,19101,38437,14864,อภ.เนินมะปราง,1
2255,13157,12811,25968,8547,อภ.เนินสง่า,1
2256,17831,18194,36025,9323,อภ.เบญจลักษ์,1
2257,17498,18588,36086,15843,อภ.เบตง,1
2258,7037,7207,14244,3914,อภ.เปือยน้อย,1
2259,19944,19943,39887,11514,อภ.เฝ้าไร่,1
2260,48250,48205,96455,29608,อภ.เพ็ญ,1
2261,11737,11417,23154,6974,อภ.เมยวดี,1
2262,37434,36797,74231,39148,อภ.เมืองกระบี่,1
2263,43547,54635,98182,39445,อภ.เมืองกาญจนบุรี,1
2264,41075,39820,80895,26259,อภ.เมืองกาฬสินธุ์,1
2265,68836,66688,135524,53280,อภ.เมืองกำแพงเพชร,1
2266,76486,73361,149847,67991,อภ.เมืองขอนแก่น,1
2267,24586,22262,46848,22385,อภ.เมืองจันทบุรี,1
2268,8802,9010,17812,4434,อภ.เมืองจันทร์,1
2269,63353,60057,123410,52217,อภ.เมืองฉะเชิงเทรา,1
2270,21692,20522,42214,27013,อภ.เมืองชลบุรี,1
2271,11764,11032,22796,8727,อภ.เมืองชัยนาท,1
2272,69938,66810,136748,55014,อภ.เมืองชัยภูมิ,1
2273,46597,45889,92486,44894,อภ.เมืองชุมพร,1
2274,49331,45835,95166,40715,อภ.เมืองตรัง,1
2275,38410,36216,74626,35718,อภ.เมืองตราด,1
2276,37533,37081,74614,29646,อภ.เมืองตาก,1
2277,42340,42480,84820,35219,อภ.เมืองนครนายก,1
2278,90322,83222,173544,67628,อภ.เมืองนครปฐม,1
2279,58603,59343,117946,36560,อภ.เมืองนครพนม,1
2280,123088,112008,235096,113604,อภ.เมืองนครราชสีมา,1
2281,80585,78202,158787,63325,อภ.เมืองนครศรีธรรมราช,1
2282,82704,77842,160546,71388,อภ.เมืองนครสวรรค์,1
2283,31082,26998,58080,30885,อภ.เมืองนนทบุรี,1
2284,42828,43227,86055,26506,อภ.เมืองนราธิวาส,1
2285,31470,31396,62866,24990,อภ.เมืองน่าน,1
2286,29232,29432,58664,18867,อภ.เมืองบึงกาฬ,1
2287,87602,87130,174732,53449,อภ.เมืองบุรีรัมย์,1
2288,68295,61698,129993,69029,อภ.เมืองปทุมธานี,1
2289,32410,32461,64871,26640,อภ.เมืองประจวบคีรีขันธ์,1
2290,42776,45214,87990,35979,อภ.เมืองปราจีนบุรี,1
2291,47795,43606,91401,31646,อภ.เมืองปัตตานี,1
2292,16343,16333,32676,12107,อภ.เมืองปาน,1
2293,22268,20916,43184,17491,อภ.เมืองพะเยา,1
2294,15951,15501,31452,12463,อภ.เมืองพังงา,1
2295,46319,42516,88835,34261,อภ.เมืองพัทลุง,1
2296,37588,35236,72824,26567,อภ.เมืองพิจิตร,1
2297,92836,86421,179257,86797,อภ.เมืองพิษณุโลก,1
2298,23776,20958,44734,30801,อภ.เมืองภูเก็ต,1
2299,52158,49897,102055,36315,อภ.เมืองมหาสารคาม,1
2300,39731,40278,80009,27054,อภ.เมืองมุกดาหาร,1
2301,38858,37816,76674,19051,อภ.เมืองยะลา,1
2302,9776,9929,19705,5545,อภ.เมืองยาง,1
2303,53629,53665,107294,38967,อภ.เมืองยโสธร,1
2304,34895,35747,70642,38446,อภ.เมืองระนอง,1
2305,51708,50474,102182,65818,อภ.เมืองระยอง,1
2306,63432,60426,123858,48875,อภ.เมืองราชบุรี,1
2307,56156,54321,110477,41807,อภ.เมืองร้อยเอ็ด,1
2308,51130,51772,102902,41642,อภ.เมืองลพบุรี,1
2309,46013,44491,90504,38702,อภ.เมืองลำปาง,1
2310,31179,28100,59279,28052,อภ.เมืองลำพูน,1
2311,44475,42840,87315,27219,อภ.เมืองศรีสะเกษ,1
2312,57588,56134,113722,42102,อภ.เมืองสกลนคร,1
2313,7970,7354,15324,5589,อภ.เมืองสงขลา,1
2314,33422,32581,66003,18707,อภ.เมืองสตูล,1
2315,67037,60207,127244,59084,อภ.เมืองสมุทรปราการ,1
2316,40950,37620,78570,32614,อภ.เมืองสมุทรสงคราม,1
2317,107139,98024,205163,116242,อภ.เมืองสมุทรสาคร,1
2318,6830,6794,13624,3786,อภ.เมืองสรวง,1
2319,22118,25054,47172,20210,อภ.เมืองสระบุรี,1
2320,43088,43824,86912,29895,อภ.เมืองสระแก้ว,1
2321,19425,17001,36426,13613,อภ.เมืองสิงห์บุรี,1
2322,56297,51107,107404,38697,อภ.เมืองสุพรรณบุรี,1
2323,9257,8756,18013,7752,อภ.เมืองสุราษฎร์ธานี,1
2324,109884,107524,217408,76910,อภ.เมืองสุรินทร์,1
2325,31614,29203,60817,22988,อภ.เมืองสุโขทัย,1
2326,37845,37155,75000,24580,อภ.เมืองหนองคาย,1
2327,51027,51148,102175,31401,อภ.เมืองหนองบัวลำภู,1
2328,48684,48710,97394,31526,อภ.เมืองอำนาจเจริญ,1
2329,94570,90377,184947,72248,อภ.เมืองอุดรธานี,1
2330,23513,22311,45824,17924,อภ.เมืองอุตรดิตถ์,1
2331,18467,17018,35485,13816,อภ.เมืองอุทัยธานี,1
2332,48986,47800,96786,36128,อภ.เมืองอุบลราชธานี,1
2333,22959,20653,43612,17022,อภ.เมืองอ่างทอง,1
2334,57059,51923,108982,52663,อภ.เมืองเชียงราย,1
2335,7590,6746,14336,11439,อภ.เมืองเชียงใหม่,1
2336,48147,42377,90524,35630,อภ.เมืองเพชรบุรี,1
2337,79812,80211,160023,62884,อภ.เมืองเพชรบูรณ์,1
2338,29212,30199,59411,23952,อภ.เมืองเลย,1
2339,32882,29488,62370,27605,อภ.เมืองแพร่,1
2340,28087,28432,56519,23443,อภ.เมืองแม่ฮ่องสอน,1
2341,20735,20824,41559,13081,อภ.เรณูนคร,1
2342,26857,26640,53497,18449,อภ.เลาขวัญ,1
2343,44887,44555,89442,28897,อภ.เลิงนกทา,1
2344,20017,18939,38956,15645,อภ.เวียงชัย,1
2345,30801,30248,61049,24770,อภ.เวียงป่าเป้า,1
2346,8744,8498,17242,6944,อภ.เวียงสระ,1
2347,33239,33532,66771,24707,อภ.เวียงสา,1
2348,10051,9863,19914,5696,อภ.เวียงเก่า,1
2349,12109,11807,23916,9167,อภ.เวียงเชียงรุ้ง,1
2350,18478,18803,37281,13418,อภ.เวียงแก่น,1
2351,26651,27148,53799,9605,อภ.เวียงแหง,1
2352,15932,15132,31064,9936,อภ.เสนา,1
2353,17708,17414,35122,10868,อภ.เสนางคนิคม,1
2354,11027,11056,22083,7684,อภ.เสริมงาม,1
2355,45325,44692,90017,25231,อภ.เสลภูมิ,1
2356,11636,10600,22236,8436,อภ.เสาไห้,1
2357,28660,28255,56915,17420,อภ.เสิงสาง,1
2358,30467,29939,60406,20616,อภ.เหนือคลอง,1
2359,13949,14048,27997,7965,อภ.เหล่าเสือโก้ก,1
2360,17017,16987,34004,11526,อภ.เอราวัณ,1
2361,12148,12242,24390,6600,อภ.แกดำ,1
2362,35025,32595,67620,31513,อภ.แกลง,1
2363,16222,17393,33615,15529,อภ.แก่งกระจาน,1
2364,35597,34666,70263,31359,อภ.แก่งคอย,1
2365,21123,21306,42429,21194,อภ.แก่งหางแมว,1
2366,36448,36326,72774,25344,อภ.แก้งคร้อ,1
2367,18500,18254,36754,10801,อภ.แก้งสนามนาง,1
2368,13547,13354,26901,7417,อภ.แคนดง,1
2369,17636,17196,34832,13217,อภ.แจ้ห่ม,1
2370,10706,11010,21716,11475,อภ.แปลงยาว,1
2371,8041,8307,16348,4951,อภ.แม่จริม,1
2372,36475,33970,70445,28550,อภ.แม่จัน,1
2373,14110,13861,27971,10772,อภ.แม่ทะ,1
2374,12595,12269,24864,10779,อภ.แม่ทา,1
2375,4757,4600,9357,3225,อภ.แม่พริก,1
2376,38986,38669,77655,25337,อภ.แม่ฟ้าหลวง,1
2377,24441,25724,50165,17011,อภ.แม่ระมาด,1
2378,43318,41611,84929,38305,อภ.แม่ริม,1
2379,8964,8640,17604,4569,อภ.แม่ลาน,1
2380,16046,16260,32306,10880,อภ.แม่ลาน้อย,1
2381,12666,11981,24647,11074,อภ.แม่ลาว,1
2382,25081,24804,49885,18832,อภ.แม่วงก์,1
2383,13791,13661,27452,9956,อภ.แม่วาง,1
2384,38785,39265,78050,29495,อภ.แม่สรวย,1
2385,48819,49705,98524,36877,อภ.แม่สอด,1
2386,26051,26423,52474,21731,อภ.แม่สะเรียง,1
2387,38263,34189,72452,29509,อภ.แม่สาย,1
2388,10622,10399,21021,9577,อภ.แม่ออน,1
2389,33826,33856,67682,28372,อภ.แม่อาย,1
2390,10394,10521,20915,7008,อภ.แม่เปิน,1
2391,11977,12130,24107,9083,อภ.แม่เมาะ,1
2392,28310,29170,57480,18336,อภ.แม่แจ่ม,1
2393,30180,29727,59907,24837,อภ.แม่แตง,1
2394,10401,9777,20178,9550,อภ.แม่ใจ,1
2395,19404,19282,38686,11440,อภ.แวงน้อย,1
2396,12190,11969,24159,6457,อภ.แวงใหญ่,1
2397,22214,21695,43909,10487,อภ.แว้ง,1
2398,15748,15022,30770,10154,อภ.แสวงหา,1
2399,7052,6994,14046,5857,อภ.แหลมงอบ,1
2400,7259,6887,14146,5352,อภ.แหลมสิงห์,1
2401,13616,13016,26632,9752,อภ.โกรกพระ,1
2402,14111,14111,28222,10814,อภ.โกสัมพีนคร,1
2403,55681,53984,109665,31784,อภ.โกสุมพิสัย,1
2404,17724,18111,35835,10245,อภ.โขงเจียม,1
2405,10949,10830,21779,7688,อภ.โคกศรีสุพรรณ,1
2406,38512,37632,76144,29077,อภ.โคกสำโรง,1
2407,13768,13536,27304,8465,อภ.โคกสูง,1
2408,12189,12169,24358,8601,อภ.โคกเจริญ,1
2409,31887,30466,62353,17994,อภ.โคกโพธิ์,1
2410,10574,10551,21125,6654,อภ.โคกโพธิ์ไชย,1
2411,25752,24226,49978,19362,อภ.โชคชัย,1
2412,32314,32752,65066,19300,อภ.โซ่พิสัย,1
2413,19613,19872,39485,11220,อภ.โนนคูณ,1
2414,9308,9428,18736,5778,อภ.โนนดินแดง,1
2415,17555,17378,34933,8692,อภ.โนนนารายณ์,1
2416,10557,10495,21052,6491,อภ.โนนศิลา,1
2417,22713,22585,45298,12162,อภ.โนนสะอาด,1
2418,27121,26793,53914,13770,อภ.โนนสัง,1
2419,10946,10867,21813,6419,อภ.โนนสุวรรณ,1
2420,43370,41679,85049,25339,อภ.โนนสูง,1
2421,10643,10243,20886,5643,อภ.โนนแดง,1
2422,27912,26751,54663,16931,อภ.โนนไทย,1
2423,10388,10944,21332,8633,อภ.โป่งน้ำร้อน,1
2424,27822,26620,54442,18904,อภ.โพทะเล,1
2425,36979,34752,71731,25691,อภ.โพธาราม,1
2426,13585,13459,27044,7539,อภ.โพธิ์ชัย,1
2427,7617,7629,15246,5158,อภ.โพธิ์ตาก,1
2428,22804,20785,43589,15604,อภ.โพธิ์ทอง,1
2429,17196,16684,33880,11647,อภ.โพธิ์ประทับช้าง,1
2430,11806,11902,23708,5698,อภ.โพธิ์ศรีสุวรรณ,1
2431,21911,22613,44524,12033,อภ.โพธิ์ไทร,1
2432,11203,11191,22394,5192,อภ.โพนทราย,1
2433,48583,48050,96633,28778,อภ.โพนทอง,1
2434,18474,18504,36978,13905,อภ.โพนนาแก้ว,1
2435,48073,47568,95641,31934,อภ.โพนพิสัย,1
2436,26351,26277,52628,17091,อภ.โพนสวรรค์,1
2437,17705,17623,35328,11745,อภ.ไชยปราการ,1
2438,11778,12056,23834,6084,อภ.ไชยวาน,1
2439,19753,18909,38662,16904,อภ.ไชยา,1
2440,3685,3401,7086,2420,อภ.ไชโย,1
2441,15284,15193,30477,10653,อภ.ไทยเจริญ,1
2442,22758,22468,45226,15091,อภ.ไทรงาม,1
2443,36900,33439,70339,33605,อภ.ไทรน้อย,1
2444,29036,31049,60085,21095,อภ.ไทรโยค,1
2445,18387,18117,36504,9148,อภ.ไพรบึง,1
2446,30049,29445,59494,21256,อภ.ไพศาลี,1
2447,6603,6411,13014,3434,อภ.ไม้แก่น,1
2448,710565,645884,1356449,733185,สมุทรปราการ,23
2449,689470,599167,1288637,728953,นนทบุรี,20
2450,426488,394024,820512,342753,พระนครศรีอยุธยา,50
2451,143364,131399,274763,102684,อ่างทอง,17
2452,370740,368733,739473,303565,ลพบุรี,29
2453,107382,97144,204526,79494,สิงห์บุรี,13
2454,166470,153962,320432,128284,ชัยนาท,26
2455,327762,316201,643963,288275,สระบุรี,39
2456,382351,368992,751343,524479,ระยอง,31
2457,274300,262257,536557,248074,จันทบุรี,38
2458,115435,112941,228376,109890,ตราด,18
2459,369344,354834,724178,321929,ฉะเชิงเทรา,37
2460,250683,244642,495325,225949,ปราจีนบุรี,19
2461,131579,128854,260433,104249,นครนายก,9
2462,281319,280673,561992,221802,สระแก้ว,18
2463,1340371,1293783,2634154,1024002,นครราชสีมา,95
2464,796274,783531,1579805,483349,บุรีรัมย์,60
2465,691876,684354,1376230,410088,สุรินทร์,31
2466,732130,725426,1457556,405275,ศรีสะเกษ,41
2467,936053,932466,1868519,629504,อุบลราชธานี,62
2468,267449,265945,533394,179229,ยโสธร,18
2469,567966,554299,1122265,406943,ชัยภูมิ,38
2470,189228,187122,376350,122801,อำนาจเจริญ,17
2471,210501,211494,421995,140512,บึงกาฬ,19
2472,255244,253757,509001,154912,หนองบัวลำภู,20
2473,791153,775357,1566510,538277,อุดรธานี,62
2474,318783,319949,638732,230763,เลย,35
2475,260575,256268,516843,181752,หนองคาย,20
2476,483334,464976,948310,308947,มหาสารคาม,26
2477,654130,641883,1296013,400811,ร้อยเอ็ด,52
2478,493582,481988,975570,316604,กาฬสินธุ์,53
2479,576922,569364,1146286,396177,สกลนคร,39
2480,359944,357096,717040,235673,นครพนม,22
2481,175851,175633,351484,119972,มุกดาหาร,15
2482,208427,192712,401139,185253,ลำพูน,31
2483,371784,352894,724678,298848,ลำปาง,36
2484,228735,217413,446148,174440,อุตรดิตถ์,32
2485,225177,209403,434580,180833,แพร่,26
2486,237916,237959,475875,173216,น่าน,22
2487,238562,225943,464505,197593,พะเยา,32
2488,667557,630868,1298425,569461,เชียงราย,54
2489,141105,144811,285916,117497,แม่ฮ่องสอน,12
2490,530371,504657,1035028,426048,นครสวรรค์,33
2491,166190,158926,325116,127506,อุทัยธานี,19
2492,360604,351539,712143,281829,กำแพงเพชร,33
2493,334617,341966,676583,228736,ตาก,23
2494,301923,283429,585352,222630,สุโขทัย,25
2495,432807,414577,847384,358036,พิษณุโลก,29
2496,271383,258012,529395,200600,พิจิตร,36
2497,496138,482234,978372,368998,เพชรบูรณ์,33
2498,446360,421921,868281,332214,ราชบุรี,40
2499,445742,448312,894054,353679,กาญจนบุรี,46
2500,432477,402883,835360,311136,สุพรรณบุรี,45
2501,479371,442800,922171,417915,นครปฐม,27
2502,304106,282683,586789,302618,สมุทรสาคร,12
2503,99741,91101,190842,73940,สมุทรสงคราม,8
2504,249948,232927,482875,224570,เพชรบุรี,20
2505,241259,238092,479351,197381,กระบี่,19
2506,134231,133785,268016,120551,พังงา,17
2507,220911,197874,418785,277112,ภูเก็ต,12
2508,545115,527349,1072464,521265,สุราษฎร์ธานี,47
2509,96437,98136,194573,94295,ระนอง,11
2510,258074,251405,509479,244176,ชุมพร,23
2511,734280,697256,1431536,562422,สงขลา,50
2512,163195,161640,324835,107562,สตูล,14
2513,327095,312693,639788,237935,ตรัง,24
2514,268116,254425,522541,199687,พัทลุง,29
2515,369233,360348,729581,199103,ปัตตานี,24
2516,272407,269907,542314,173226,ยะลา,18
2517,409159,400501,809660,223141,นราธิวาส,27
2518,2935702,2592292,5527994,3147231,กรุงเทพมหานคร,50
2519,911014,879849,1790863,654344,ขอนแก่น,69
2520,811209,772463,1583672,1092000,ชลบุรี,49
2521,784873,764471,1549344,590976,นครศรีธรรมราช,53
2522,626209,563851,1190060,660020,ปทุมธานี,25
2523,279122,274049,553171,276936,ประจวบคีรีขันธ์,23
2524,925021,864364,1789385,852520,เชียงใหม่,79
2525,10510842,9664352,20175194,9709949,CT,601
2526,2484641,2396802,4881443,2744123,E_,210
2527,11012380,10814540,21826920,7339935,NE,794
2528,3244284,3076367,6320651,2749661,N_,324
2529,4824385,4667882,9492267,3748832,S_,368
2530,1755789,1719175,3474964,1416135,W_,152
2531,33832321,32339118,66171439,27708635,TH,2449
