latitude,longitude,geoid_height
4.03,96.9743,-31.273
4.03,96.9884,-31.263
4.045,96,-36.138
4.045,96.0141,-36.026
4.045,96.0282,-35.921
4.045,96.0424,-35.824
4.045,96.0565,-35.73
4.045,96.0706,-35.639
4.045,96.0847,-35.55
4.045,96.0988,-35.466
4.045,96.113,-35.382
4.045,96.1271,-35.298
4.045,96.1412,-35.212
4.045,96.1553,-35.125
4.045,96.1694,-35.037
4.045,96.1836,-34.947
4.045,96.1977,-34.857
4.045,96.2118,-34.769
4.045,96.2259,-34.682
4.045,96.2401,-34.597
4.045,96.2542,-34.515
4.045,96.2683,-34.435
4.045,96.2824,-34.356
4.045,96.2965,-34.278
4.045,96.3107,-34.201
4.045,96.3248,-34.124
4.045,96.3389,-34.045
4.045,96.353,-33.963
4.045,96.3671,-33.874
4.045,96.3813,-33.78
4.045,96.3954,-33.68
4.045,96.4095,-33.575
4.045,96.4236,-33.462
4.045,96.4377,-33.341
4.045,96.4519,-33.214
4.045,96.466,-33.086
4.045,96.4801,-32.954
4.045,96.4942,-32.821
4.045,96.5083,-32.689
4.045,96.5225,-32.558
4.045,96.5366,-32.427
4.045,96.5507,-32.299
4.045,96.5648,-32.178
4.045,96.5789,-32.061
4.045,96.5931,-31.952
4.045,96.6072,-31.856
4.045,96.6213,-31.77
4.045,96.6354,-31.69
4.045,96.6496,-31.612
4.045,96.6637,-31.542
4.045,96.6778,-31.477
4.045,96.6919,-31.42
4.045,96.706,-31.371
4.045,96.7202,-31.334
4.045,96.7343,-31.308
4.045,96.7484,-31.293
4.045,96.7625,-31.288
4.045,96.7766,-31.29
4.045,96.7908,-31.298
4.045,96.8049,-31.308
4.045,96.819,-31.32
4.045,96.8331,-31.334
4.045,96.8472,-31.348
4.045,96.8614,-31.36
4.045,96.8755,-31.372
4.045,96.8896,-31.38
4.045,96.9037,-31.389
4.045,96.9178,-31.397
4.045,96.932,-31.4
4.045,96.9461,-31.398
4.045,96.9602,-31.391
4.045,96.9743,-31.382
4.045,96.9884,-31.371
4.0601,96,-36.233
4.0601,96.0141,-36.121
4.0601,96.0282,-36.017
4.0601,96.0424,-35.919
4.0601,96.0565,-35.827
4.0601,96.0706,-35.735
4.0601,96.0847,-35.647
4.0601,96.0988,-35.562
4.0601,96.113,-35.481
4.0601,96.1271,-35.398
4.0601,96.1412,-35.315
4.0601,96.1553,-35.23
4.0601,96.1694,-35.145
4.0601,96.1836,-35.058
4.0601,96.1977,-34.971
4.0601,96.2118,-34.887
4.0601,96.2259,-34.805
4.0601,96.2401,-34.726
4.0601,96.2542,-34.648
4.0601,96.2683,-34.574
4.0601,96.2824,-34.5
4.0601,96.2965,-34.427
4.0601,96.3107,-34.352
4.0601,96.3248,-34.279
4.0601,96.3389,-34.203
4.0601,96.353,-34.124
4.0601,96.3671,-34.038
4.0601,96.3813,-33.946
4.0601,96.3954,-33.847
4.0601,96.4095,-33.741
4.0601,96.4236,-33.627
4.0601,96.4377,-33.505
4.0601,96.4519,-33.378
4.0601,96.466,-33.247
4.0601,96.4801,-33.115
4.0601,96.4942,-32.984
4.0601,96.5083,-32.85
4.0601,96.5225,-32.72
4.0601,96.5366,-32.591
4.0601,96.5507,-32.468
4.0601,96.5648,-32.35
