index,pop_F,pop_M,pop_MF,hholds,fullname
376,6062,5586,11648,5737,ทต.นางแล
377,4237,3789,8026,15653,ทต.นาจอมเทียน
378,3638,3668,7306,2637,ทต.นาจะหลวย
379,4259,4228,8487,2493,ทต.นาจารย์
380,4933,5069,10002,3021,ทต.นาดอกคำ
381,5306,5354,10660,3665,ทต.นาดินดำ
382,4022,3900,7922,3306,ทต.นาดี
383,14813,13282,28095,16548,ทต.นาดี
384,2346,2388,4734,1773,ทต.นาดูน
385,3344,3329,6673,2355,ทต.นาด้วง
386,3254,3215,6469,3683,ทต.นาทวี
387,7046,7205,14251,3676,ทต.นาทัน
388,1279,1137,2416,1221,ทต.นาน้อย
389,1159,1120,2279,1139,ทต.นาบอน
390,1608,1509,3117,1403,ทต.นาประดู่
391,21052,20301,41353,25817,ทต.นาป่า
392,3506,3496,7002,2335,ทต.นามน
393,2143,2002,4145,1081,ทต.นามะเฟือง
394,2650,2593,5243,1542,ทต.นายม
395,9774,9108,18882,7030,ทต.นายาง
396,1844,1686,3530,1959,ทต.นายายอาม
397,2079,1966,4045,1792,ทต.นาวง
398,1534,1381,2915,1107,ทต.นาสีทอง
399,1629,1520,3149,985,ทต.นาส่วง
400,5629,5263,10892,3278,ทต.นาหนองทุ่ม
401,6174,6019,12193,4195,ทต.นาหว้า
402,6447,6261,12708,5783,ทต.นาอาน
403,3131,2968,6099,2231,ทต.นาอ้อ
404,2231,2031,4262,1731,ทต.นาเฉลียง
405,1941,1843,3784,2069,ทต.นาเชือก
406,3313,3210,6523,1833,ทต.นาเยีย
407,3553,3378,6931,2420,ทต.นาเหล่า
408,2320,2064,4384,2327,ทต.นาแก
409,4558,4373,8931,3104,ทต.นาแก้ว
410,984,1031,2015,888,ทต.นาแห้ว
411,5166,5096,10262,3452,ทต.นาโป่ง
412,1903,1770,3673,1636,ทต.นาโพธิ์
413,1565,1375,2940,1676,ทต.นาโพธิ์
414,1849,1674,3523,1551,ทต.นาโยงเหนือ
415,3186,3060,6246,2305,ทต.นิคมคำสร้อย
416,4693,4511,9204,3613,ทต.นิคมทุ่งโพธิ์ทะเล
417,1354,1331,2685,849,ทต.นิคมปราสาท
418,1913,1801,3714,1296,ทต.นิคมสงเคราะห์
419,3399,3330,6729,3013,ทต.นิเวศน์
420,5341,5178,10519,3000,ทต.น้ำคำ
421,1854,1820,3674,1918,ทต.น้ำจืด
422,1991,1935,3926,1572,ทต.น้ำตกไทรโยคน้อย
423,7814,6972,14786,6044,ทต.น้ำน้อย
