index,labels,ids,parents,pop_MF,pop_F,pop_M,hholds
445,ทต.บางกระสั้น,TH/CT/14/ทต.บางกระสั้น,TH/CT/14,13162,6999,6163,5629
446,ทต.บางกะจะ,TH/E_/22/ทต.บางกะจะ,TH/E_/22,5112,2638,2474,2164
447,ทต.บางกุ้ง,TH/CT/72/ทต.บางกุ้ง,TH/CT/72,1915,996,919,584
448,ทต.บางขนาก,TH/E_/24/ทต.บางขนาก,TH/E_/24,2084,1038,1046,782
449,ทต.บางคล้า,TH/E_/24/ทต.บางคล้า,TH/E_/24,9281,4990,4291,4853
450,ทต.บางจัก,TH/CT/15/ทต.บางจัก,TH/CT/15,7668,3998,3670,2777
451,ทต.บางจาก,TH/S_/นครศรีธรรมราช/ทต.บางจาก,TH/S_/นครศรีธรรมราช,1817,952,865,659
452,ทต.บางซ้าย,TH/CT/14/ทต.บางซ้าย,TH/CT/14,5248,2680,2568,1831
453,ทต.บางตะบูน,TH/W_/76/ทต.บางตะบูน,TH/W_/76,5137,2633,2504,1862
454,ทต.บางทราย,TH/E_/ชลบุรี/ทต.บางทราย,TH/E_/ชลบุรี,11679,5246,6433,7448
455,ทต.บางนกแขวก,TH/CT/75/ทต.บางนกแขวก,TH/CT/75,1742,948,794,853
456,ทต.บางนมโค,TH/CT/14/ทต.บางนมโค,TH/CT/14,7507,3957,3550,4080
457,ทต.บางน้ำเชี่ยว,TH/CT/17/ทต.บางน้ำเชี่ยว,TH/CT/17,3406,1781,1625,1362
458,ทต.บางน้ำเปรี้ยว,TH/E_/24/ทต.บางน้ำเปรี้ยว,TH/E_/24,2355,1203,1152,1188
459,ทต.บางบาล,TH/CT/14/ทต.บางบาล,TH/CT/14,11012,5793,5219,3713
460,ทต.บางบ่อ,TH/CT/11/ทต.บางบ่อ,TH/CT/11,6445,3362,3083,2331
461,ทต.บางประมุง,TH/CT/60/ทต.บางประมุง,TH/CT/60,5021,2552,2469,1565
462,ทต.บางปลา,TH/CT/74/ทต.บางปลา,TH/CT/74,6962,3604,3358,4327
463,ทต.บางปลาม้า,TH/CT/72/ทต.บางปลาม้า,TH/CT/72,1928,990,938,662
464,ทต.บางปะกง,TH/E_/24/ทต.บางปะกง,TH/E_/24,6158,3232,2926,2903
465,ทต.บางปะหัน,TH/CT/14/ทต.บางปะหัน,TH/CT/14,5290,2795,2495,2219
466,ทต.บางปะอิน,TH/CT/14/ทต.บางปะอิน,TH/CT/14,6807,3454,3353,2193
467,ทต.บางปู,TH/CT/11/ทต.บางปู,TH/CT/11,119500,61898,57602,59612
468,ทต.บางปู,TH/S_/94/ทต.บางปู,TH/S_/94,10413,5230,5183,2257
469,ทต.บางพระ,TH/E_/ชลบุรี/ทต.บางพระ,TH/E_/ชลบุรี,13380,6986,6394,7709
470,ทต.บางพลับ,TH/CT/12/ทต.บางพลับ,TH/CT/12,10899,5831,5068,5979
471,ทต.บางพลี,TH/CT/11/ทต.บางพลี,TH/CT/11,11837,5934,5903,2197
472,ทต.บางพูน,TH/CT/ปทุมธานี/ทต.บางพูน,TH/CT/ปทุมธานี,25783,13615,12168,19879
473,ทต.บางม่วง,TH/CT/12/ทต.บางม่วง,TH/CT/12,6101,3107,2994,2753
474,ทต.บางระกำ,TH/CT/65/ทต.บางระกำ,TH/CT/65,4279,2249,2030,1975
475,ทต.บางละมุง,TH/E_/ชลบุรี/ทต.บางละมุง,TH/E_/ชลบุรี,12484,6524,5960,8982
476,ทต.บางวัว,TH/E_/24/ทต.บางวัว,TH/E_/24,2972,1550,1422,1956
477,ทต.บางวัวคณารักษ์,TH/E_/24/ทต.บางวัวคณารักษ์,TH/E_/24,11081,5783,5298,8208
478,ทต.บางสวรรค์,TH/S_/84/ทต.บางสวรรค์,TH/S_/84,4039,2027,2012,1929
479,ทต.บางสะพานน้อย,TH/W_/ประจวบคีรีขันธ์/ทต.บางสะพานน้อย,TH/W_/ประจวบคีรีขันธ์,2953,1492,1461,1503
480,ทต.บางหลวง,TH/CT/18/ทต.บางหลวง,TH/CT/18,5381,2844,2537,2610
481,ทต.บางหลวง,TH/CT/73/ทต.บางหลวง,TH/CT/73,2108,1090,1018,769
482,ทต.บางหลวง,TH/CT/ปทุมธานี/ทต.บางหลวง,TH/CT/ปทุมธานี,7133,3729,3404,4485
483,ทต.บางเตย,TH/CT/ปทุมธานี/ทต.บางเตย,TH/CT/ปทุมธานี,10973,5631,5342,4494
484,ทต.บางเมือง,TH/CT/11/ทต.บางเมือง,TH/CT/11,99726,53123,46603,50039
485,ทต.บางเลน,TH/CT/73/ทต.บางเลน,TH/CT/73,8437,4221,4216,4094
486,ทต.บางเสร่,TH/E_/ชลบุรี/ทต.บางเสร่,TH/E_/ชลบุรี,11588,6257,5331,9206
487,ทต.บางเสาธง,TH/CT/11/ทต.บางเสาธง,TH/CT/11,21754,11349,10405,17089
488,ทต.บางแก้ว,TH/S_/93/ทต.บางแก้ว,TH/S_/93,3798,1933,1865,1421
489,ทต.บางแพ,TH/W_/70/ทต.บางแพ,TH/W_/70,16109,8418,7691,6461
490,ทต.บางใหญ่,TH/CT/12/ทต.บางใหญ่,TH/CT/12,12083,6259,5824,5813
491,ทต.บางไทร,TH/CT/14/ทต.บางไทร,TH/CT/14,10247,5230,5017,3779
492,ทต.บางไผ่,TH/CT/66/ทต.บางไผ่,TH/CT/66,1516,797,719,627
493,ทต.บาเจาะ,TH/S_/96/ทต.บาเจาะ,TH/S_/96,9518,4760,4758,2277
494,ทต.บำเหน็จณรงค์,TH/NE/36/ทต.บำเหน็จณรงค์,TH/NE/36,6977,3625,3352,2964
495,ทต.บึงบูรพ์,TH/NE/33/ทต.บึงบูรพ์,TH/NE/33,6161,3157,3004,1803
496,ทต.บึงระมาณ,TH/CT/65/ทต.บึงระมาณ,TH/CT/65,4401,2276,2125,1676
497,ทต.บึงโขงหลง,TH/NE/38/ทต.บึงโขงหลง,TH/NE/38,9777,4930,4847,3335
498,ทต.บุญเรือง,TH/N_/57/ทต.บุญเรือง,TH/N_/57,5992,3072,2920,2513
499,ทต.บุณฑริก,TH/NE/34/ทต.บุณฑริก,TH/NE/34,4455,2261,2194,2064
500,ทต.บุสูง,TH/NE/33/ทต.บุสูง,TH/NE/33,10281,5075,5206,2769
501,ทต.บูเก๊ะตา,TH/S_/96/ทต.บูเก๊ะตา,TH/S_/96,5042,2575,2467,1381
502,ทต.บ่อ,TH/E_/22/ทต.บ่อ,TH/E_/22,7215,3687,3528,2623
503,ทต.บ่อกรุ,TH/CT/72/ทต.บ่อกรุ,TH/CT/72,1978,1051,927,741
504,ทต.บ่อตรุ,TH/S_/90/ทต.บ่อตรุ,TH/S_/90,11106,5659,5447,3472
505,ทต.บ่อทอง,TH/S_/94/ทต.บ่อทอง,TH/S_/94,16517,6323,10194,5868
506,ทต.บ่อทอง,TH/E_/ชลบุรี/ทต.บ่อทอง,TH/E_/ชลบุรี,4241,2151,2090,2041
507,ทต.บ่อพลอย,TH/E_/23/ทต.บ่อพลอย,TH/E_/23,8763,4396,4367,5648
508,ทต.บ่อพลอย,TH/W_/71/ทต.บ่อพลอย,TH/W_/71,6980,3512,3468,2703
509,ทต.บ่อพลับ,TH/CT/73/ทต.บ่อพลับ,TH/CT/73,9545,5010,4535,4770
510,ทต.บ่อหลวง,TH/N_/เชียงใหม่/ทต.บ่อหลวง,TH/N_/เชียงใหม่,12126,6030,6096,3829
511,ทต.บ่อเวฬุ,TH/E_/22/ทต.บ่อเวฬุ,TH/E_/22,4374,2074,2300,2511
512,ทต.บ่อแฮ้ว,TH/N_/52/ทต.บ่อแฮ้ว,TH/N_/52,9083,4793,4290,4123
513,ทต.บ่อไทย,TH/CT/67/ทต.บ่อไทย,TH/CT/67,9616,4894,4722,2983
514,ทต.บ้านกรวด,TH/NE/31/ทต.บ้านกรวด,TH/NE/31,3955,2003,1952,1953
515,ทต.บ้านกรวดปัญญาวัฒน์,TH/NE/31/ทต.บ้านกรวดปัญญาวัฒน์,TH/NE/31,9324,4666,4658,2677
516,ทต.บ้านกรูด,TH/W_/ประจวบคีรีขันธ์/ทต.บ้านกรูด,TH/W_/ประจวบคีรีขันธ์,4170,2189,1981,2294
517,ทต.บ้านกลาง,TH/N_/51/ทต.บ้านกลาง,TH/N_/51,11394,6131,5263,11061
518,ทต.บ้านกลาง,TH/CT/ปทุมธานี/ทต.บ้านกลาง,TH/CT/ปทุมธานี,12401,6538,5863,6357
519,ทต.บ้านกลาง,TH/N_/เชียงใหม่/ทต.บ้านกลาง,TH/N_/เชียงใหม่,10284,5456,4828,5320
520,ทต.บ้านกล้วย,TH/CT/18/ทต.บ้านกล้วย,TH/CT/18,6957,3661,3296,3493
521,ทต.บ้านกล้วย,TH/CT/64/ทต.บ้านกล้วย,TH/CT/64,16128,8535,7593,7105
522,ทต.บ้านค่าย,TH/E_/21/ทต.บ้านค่าย,TH/E_/21,3324,1756,1568,2022
523,ทต.บ้านค่ายหมื่นแผ้ว,TH/NE/36/ทต.บ้านค่ายหมื่นแผ้ว,TH/NE/36,4948,2535,2413,1894
524,ทต.บ้านค้อ,TH/NE/ขอนแก่น/ทต.บ้านค้อ,TH/NE/ขอนแก่น,16927,8563,8364,6665
525,ทต.บ้านฆ้อง,TH/W_/70/ทต.บ้านฆ้อง,TH/W_/70,8642,4531,4111,3433
526,ทต.บ้านจั่น,TH/NE/41/ทต.บ้านจั่น,TH/NE/41,7020,3759,3261,3324
527,ทต.บ้านฉาง,TH/E_/21/ทต.บ้านฉาง,TH/E_/21,14415,7320,7095,8481
528,ทต.บ้านชัฏป่าหวาย,TH/W_/70/ทต.บ้านชัฏป่าหวาย,TH/W_/70,3907,1946,1961,1875
529,ทต.บ้านดอน,TH/CT/72/ทต.บ้านดอน,TH/CT/72,7632,3933,3699,2037
530,ทต.บ้านดู่,TH/N_/57/ทต.บ้านดู่,TH/N_/57,20250,10753,9497,13899
531,ทต.บ้านด่าน,TH/NE/31/ทต.บ้านด่าน,TH/NE/31,12025,6134,5891,3271
532,ทต.บ้านด่านนาขาม,TH/N_/53/ทต.บ้านด่านนาขาม,TH/N_/53,3868,1967,1901,1378
533,ทต.บ้านด่านโขงเจียม,TH/NE/34/ทต.บ้านด่านโขงเจียม,TH/NE/34,2915,1446,1469,1304
534,ทต.บ้านตาก,TH/W_/63/ทต.บ้านตาก,TH/W_/63,6568,3520,3048,2700
535,ทต.บ้านตาขุน,TH/S_/84/ทต.บ้านตาขุน,TH/S_/84,2396,1228,1168,1801
536,ทต.บ้านต้า,TH/N_/57/ทต.บ้านต้า,TH/N_/57,6110,3157,2953,2245
537,ทต.บ้านต๊ำ,TH/N_/56/ทต.บ้านต๊ำ,TH/N_/56,7100,3657,3443,3221
538,ทต.บ้านต๋อม,TH/N_/56/ทต.บ้านต๋อม,TH/N_/56,12590,6793,5797,7205
539,ทต.บ้านถ้ำ,TH/N_/56/ทต.บ้านถ้ำ,TH/N_/56,8247,4083,4164,3180
540,ทต.บ้านท่าหลวง,TH/CT/16/ทต.บ้านท่าหลวง,TH/CT/16,3885,1955,1930,2097
541,ทต.บ้านธาตุ,TH/NE/41/ทต.บ้านธาตุ,TH/NE/41,16920,8585,8335,5103
542,ทต.บ้านธิ,TH/N_/51/ทต.บ้านธิ,TH/N_/51,9486,4961,4525,4289
543,ทต.บ้านนา,TH/E_/21/ทต.บ้านนา,TH/E_/21,8433,4305,4128,3329
544,ทต.บ้านนา,TH/CT/26/ทต.บ้านนา,TH/CT/26,4945,2609,2336,2489
545,ทต.บ้านนา,TH/S_/84/ทต.บ้านนา,TH/S_/84,3284,1699,1585,1638
546,ทต.บ้านนา,TH/S_/93/ทต.บ้านนา,TH/S_/93,7529,3804,3725,3053
547,ทต.บ้านนาปรือ,TH/E_/25/ทต.บ้านนาปรือ,TH/E_/25,2239,1115,1124,783
548,ทต.บ้านนิเวศน์,TH/NE/45/ทต.บ้านนิเวศน์,TH/NE/45,2540,1335,1205,1172
549,ทต.บ้านปลวกแดง,TH/E_/21/ทต.บ้านปลวกแดง,TH/E_/21,5565,2936,2629,4522
550,ทต.บ้านปล้อง,TH/N_/57/ทต.บ้านปล้อง,TH/N_/57,4035,2073,1962,1592
551,ทต.บ้านปิน,TH/N_/54/ทต.บ้านปิน,TH/N_/54,2250,1226,1024,820
552,ทต.บ้านผือ,TH/NE/41/ทต.บ้านผือ,TH/NE/41,7598,3921,3677,4025
553,ทต.บ้านฝาง,TH/NE/ขอนแก่น/ทต.บ้านฝาง,TH/NE/ขอนแก่น,4631,2373,2258,1820
554,ทต.บ้านพราน,TH/CT/62/ทต.บ้านพราน,TH/CT/62,7030,3502,3528,2844
555,ทต.บ้านมุง,TH/CT/65/ทต.บ้านมุง,TH/CT/65,6951,3474,3477,2566
556,ทต.บ้านม่วง,TH/NE/47/ทต.บ้านม่วง,TH/NE/47,3560,1846,1714,1480
557,ทต.บ้านยาง,TH/CT/19/ทต.บ้านยาง,TH/CT/19,1055,572,483,383
558,ทต.บ้านลาด,TH/W_/76/ทต.บ้านลาด,TH/W_/76,3677,1981,1696,1655
559,ทต.บ้านสร้าง,TH/CT/14/ทต.บ้านสร้าง,TH/CT/14,10770,5763,5007,7091
560,ทต.บ้านสร้าง,TH/E_/25/ทต.บ้านสร้าง,TH/E_/25,3249,1654,1595,1616
561,ทต.บ้านสวน,TH/CT/64/ทต.บ้านสวน,TH/CT/64,4374,2301,2073,1703
562,ทต.บ้านสิงห์,TH/W_/70/ทต.บ้านสิงห์,TH/W_/70,12103,6331,5772,4488
563,ทต.บ้านส้อง,TH/S_/84/ทต.บ้านส้อง,TH/S_/84,17645,8907,8738,6817
564,ทต.บ้านหมอ,TH/CT/19/ทต.บ้านหมอ,TH/CT/19,2684,1383,1301,1342
565,ทต.บ้านเกาะ,TH/N_/53/ทต.บ้านเกาะ,TH/N_/53,9131,4848,4283,3756
566,ทต.บ้านเขว้า,TH/NE/36/ทต.บ้านเขว้า,TH/NE/36,8029,4211,3818,3360
567,ทต.บ้านเชียง,TH/NE/41/ทต.บ้านเชียง,TH/NE/41,5949,2987,2962,1960
568,ทต.บ้านเชี่ยวหลาน,TH/S_/84/ทต.บ้านเชี่ยวหลาน,TH/S_/84,4547,2257,2290,1948
569,ทต.บ้านเดื่อ,TH/NE/36/ทต.บ้านเดื่อ,TH/NE/36,15525,7827,7698,4496
570,ทต.บ้านเป็ด,TH/NE/ขอนแก่น/ทต.บ้านเป็ด,TH/NE/ขอนแก่น,45266,24104,21162,26853
571,ทต.บ้านเป้า,TH/NE/36/ทต.บ้านเป้า,TH/NE/36,7722,3936,3786,2329
572,ทต.บ้านเพ,TH/E_/21/ทต.บ้านเพ,TH/E_/21,17769,9308,8461,11923
573,ทต.บ้านเพชร,TH/NE/36/ทต.บ้านเพชร,TH/NE/36,4915,2518,2397,2204
574,ทต.บ้านเพชรภูเขียว,TH/NE/36/ทต.บ้านเพชรภูเขียว,TH/NE/36,5635,2855,2780,1733
575,ทต.บ้านเลือก,TH/W_/70/ทต.บ้านเลือก,TH/W_/70,10754,5613,5141,4948
576,ทต.บ้านเสด็จ,TH/S_/84/ทต.บ้านเสด็จ,TH/S_/84,19298,9521,9777,7725
577,ทต.บ้านเหลื่อม,TH/NE/30/ทต.บ้านเหลื่อม,TH/NE/30,3442,1825,1617,1204
578,ทต.บ้านเหล่า,TH/N_/56/ทต.บ้านเหล่า,TH/N_/56,7834,3989,3845,2938
579,ทต.บ้านเหล่า,TH/N_/57/ทต.บ้านเหล่า,TH/N_/57,4047,2028,2019,1692
580,ทต.บ้านแก่ง,TH/N_/53/ทต.บ้านแก่ง,TH/N_/53,2107,1107,1000,880
581,ทต.บ้านแก้ง,TH/NE/49/ทต.บ้านแก้ง,TH/NE/49,3084,1558,1526,929
582,ทต.บ้านแท่น,TH/NE/36/ทต.บ้านแท่น,TH/NE/36,4067,2076,1991,1614
583,ทต.บ้านแป้น,TH/N_/51/ทต.บ้านแป้น,TH/N_/51,6242,3344,2898,2733
584,ทต.บ้านแพง,TH/NE/48/ทต.บ้านแพง,TH/NE/48,8813,4468,4345,3567
585,ทต.บ้านแพรก,TH/CT/14/ทต.บ้านแพรก,TH/CT/14,2005,1041,964,875
586,ทต.บ้านแพ้ว,TH/CT/74/ทต.บ้านแพ้ว,TH/CT/74,3207,1669,1538,1056
587,ทต.บ้านแม่ข่า,TH/N_/เชียงใหม่/ทต.บ้านแม่ข่า,TH/N_/เชียงใหม่,1913,971,942,889
588,ทต.บ้านแยง,TH/CT/65/ทต.บ้านแยง,TH/CT/65,9935,4883,5052,4877
589,ทต.บ้านแหลม,TH/CT/72/ทต.บ้านแหลม,TH/CT/72,1198,602,596,446
590,ทต.บ้านแหลม,TH/W_/76/ทต.บ้านแหลม,TH/W_/76,11731,6080,5651,4212
591,ทต.บ้านแฮด,TH/NE/ขอนแก่น/ทต.บ้านแฮด,TH/NE/ขอนแก่น,6703,3392,3311,2234
592,ทต.บ้านโข้ง,TH/CT/72/ทต.บ้านโข้ง,TH/CT/72,9025,4580,4445,2998
593,ทต.บ้านโคก,TH/NE/39/ทต.บ้านโคก,TH/NE/39,6300,3297,3003,1865
594,ทต.บ้านโคก,TH/N_/53/ทต.บ้านโคก,TH/N_/53,3870,1922,1948,1876
595,ทต.บ้านโคก,TH/NE/ขอนแก่น/ทต.บ้านโคก,TH/NE/ขอนแก่น,4127,2143,1984,1424
596,ทต.บ้านโตนด,TH/CT/64/ทต.บ้านโตนด,TH/CT/64,3032,1607,1425,1602
597,ทต.บ้านโต้น,TH/NE/ขอนแก่น/ทต.บ้านโต้น,TH/NE/ขอนแก่น,6510,3380,3130,2013
598,ทต.บ้านโพธิ์,TH/E_/24/ทต.บ้านโพธิ์,TH/E_/24,2833,1441,1392,1409
599,ทต.บ้านโฮ่ง,TH/N_/51/ทต.บ้านโฮ่ง,TH/N_/51,7700,4142,3558,3607
600,ทต.บ้านใหม่,TH/N_/52/ทต.บ้านใหม่,TH/N_/52,2570,1286,1284,879
601,ทต.บ้านใหม่,TH/CT/65/ทต.บ้านใหม่,TH/CT/65,1935,1019,916,790
602,ทต.บ้านใหม่ไชยพจน์,TH/NE/31/ทต.บ้านใหม่ไชยพจน์,TH/NE/31,4303,2198,2105,1405
603,ทต.บ้านไร่,TH/CT/61/ทต.บ้านไร่,TH/CT/61,2551,1300,1251,1391
604,ทต.บ้านไร่,TH/S_/90/ทต.บ้านไร่,TH/S_/90,8035,4104,3931,3384
605,ทต.ปง,TH/N_/56/ทต.ปง,TH/N_/56,5656,2966,2690,2800
606,ทต.ปทุม,TH/NE/34/ทต.ปทุม,TH/NE/34,10535,5540,4995,4099
607,ทต.ปทุมรัตต์,TH/NE/45/ทต.ปทุมรัตต์,TH/NE/45,6361,3288,3073,2116
608,ทต.ปทุมราชวงศา,TH/NE/37/ทต.ปทุมราชวงศา,TH/NE/37,3482,1760,1722,1694
609,ทต.ประจันตคาม,TH/E_/25/ทต.ประจันตคาม,TH/E_/25,4536,2388,2148,2367
610,ทต.ประทาย,TH/NE/30/ทต.ประทาย,TH/NE/30,6098,3138,2960,3041
611,ทต.ประโคนชัย,TH/NE/31/ทต.ประโคนชัย,TH/NE/31,9650,5092,4558,4083
612,ทต.ปรางค์กู่,TH/NE/33/ทต.ปรางค์กู่,TH/NE/33,2738,1399,1339,1204
613,ทต.ปราณบุรี,TH/W_/ประจวบคีรีขันธ์/ทต.ปราณบุรี,TH/W_/ประจวบคีรีขันธ์,16616,8674,7942,9308
614,ทต.ปราสาททอง,TH/CT/14/ทต.ปราสาททอง,TH/CT/14,4642,2438,2204,2996
615,ทต.ปริก,TH/S_/90/ทต.ปริก,TH/S_/90,6370,3251,3119,2011
616,ทต.ปรุใหญ่,TH/NE/30/ทต.ปรุใหญ่,TH/NE/30,9840,5134,4706,5106
617,ทต.ปลักแรด,TH/CT/65/ทต.ปลักแรด,TH/CT/65,3574,1875,1699,1303
618,ทต.ปลาปาก,TH/NE/48/ทต.ปลาปาก,TH/NE/48,3929,2020,1909,1566
619,ทต.ปลายนา,TH/CT/72/ทต.ปลายนา,TH/CT/72,8315,4333,3982,2873
620,ทต.ปลายบาง,TH/CT/12/ทต.ปลายบาง,TH/CT/12,46355,25017,21338,23299
621,ทต.ปลายพระยา,TH/S_/81/ทต.ปลายพระยา,TH/S_/81,6059,3023,3036,2478
622,ทต.ปอภาร,TH/NE/45/ทต.ปอภาร,TH/NE/45,7274,3793,3481,2421
623,ทต.ปะคำ,TH/NE/31/ทต.ปะคำ,TH/NE/31,7130,3613,3517,2730
624,ทต.ปะทิว,TH/S_/86/ทต.ปะทิว,TH/S_/86,1371,736,635,874
625,ทต.ปะนาเระ,TH/S_/94/ทต.ปะนาเระ,TH/S_/94,10549,5246,5303,2642
626,ทต.ปะลุรู,TH/S_/96/ทต.ปะลุรู,TH/S_/96,7063,3588,3475,2085
627,ทต.ปะโค,TH/NE/41/ทต.ปะโค,TH/NE/41,11287,5650,5637,3398
628,ทต.ปัว,TH/N_/55/ทต.ปัว,TH/N_/55,10453,5408,5045,4844
629,ทต.ปากคาด,TH/NE/38/ทต.ปากคาด,TH/NE/38,6699,3344,3355,2701
630,ทต.ปากชม,TH/NE/42/ทต.ปากชม,TH/NE/42,3467,1780,1687,1540
631,ทต.ปากดง,TH/CT/62/ทต.ปากดง,TH/CT/62,3273,1706,1567,1324
632,ทต.ปากตะโก,TH/S_/86/ทต.ปากตะโก,TH/S_/86,4098,2014,2084,1621
633,ทต.ปากท่อ,TH/W_/70/ทต.ปากท่อ,TH/W_/70,2852,1471,1381,1389
634,ทต.ปากนคร,TH/S_/นครศรีธรรมราช/ทต.ปากนคร,TH/S_/นครศรีธรรมราช,6296,3129,3167,2000
635,ทต.ปากน้ำ,TH/E_/24/ทต.ปากน้ำ,TH/E_/24,5556,2896,2660,2579
636,ทต.ปากน้ำ,TH/CT/72/ทต.ปากน้ำ,TH/CT/72,4514,2361,2153,1758
637,ทต.ปากน้ำ,TH/S_/85/ทต.ปากน้ำ,TH/S_/85,2553,1210,1343,1753
638,ทต.ปากน้ำชุมพร,TH/S_/86/ทต.ปากน้ำชุมพร,TH/S_/86,6441,3297,3144,3400
639,ทต.ปากน้ำประแส,TH/E_/21/ทต.ปากน้ำประแส,TH/E_/21,4809,2489,2320,1978
640,ทต.ปากน้ำปราณ,TH/W_/ประจวบคีรีขันธ์/ทต.ปากน้ำปราณ,TH/W_/ประจวบคีรีขันธ์,7835,3904,3931,3463
641,ทต.ปากน้ำหลังสวน,TH/S_/86/ทต.ปากน้ำหลังสวน,TH/S_/86,6514,3293,3221,3039
642,ทต.ปากน้ำแหลมสิงห์,TH/E_/22/ทต.ปากน้ำแหลมสิงห์,TH/E_/22,8796,4515,4281,3406
643,ทต.ปากพะยูน,TH/S_/93/ทต.ปากพะยูน,TH/S_/93,3283,1707,1576,1523
644,ทต.ปาย,TH/N_/58/ทต.ปาย,TH/N_/58,3598,1845,1753,1890
645,ทต.ปิงโค้ง,TH/N_/เชียงใหม่/ทต.ปิงโค้ง,TH/N_/เชียงใหม่,14007,6452,7555,4468
646,ทต.ป่ากุมเกาะ,TH/CT/64/ทต.ป่ากุมเกาะ,TH/CT/64,7743,4017,3726,2767
647,ทต.ป่าก่อดำ,TH/N_/57/ทต.ป่าก่อดำ,TH/N_/57,4240,2214,2026,1989
648,ทต.ป่าซาง,TH/N_/51/ทต.ป่าซาง,TH/N_/51,8487,4585,3902,4141
649,ทต.ป่าซาง,TH/N_/57/ทต.ป่าซาง,TH/N_/57,11601,6132,5469,5548
650,ทต.ป่าตันนาครัว,TH/N_/52/ทต.ป่าตันนาครัว,TH/N_/52,7865,4063,3802,2967
651,ทต.ป่าติ้ว,TH/NE/35/ทต.ป่าติ้ว,TH/NE/35,3074,1563,1511,1209
652,ทต.ป่าบอน,TH/S_/93/ทต.ป่าบอน,TH/S_/93,3921,1989,1932,1714
653,ทต.ป่าอ้อดอนชัย,TH/N_/57/ทต.ป่าอ้อดอนชัย,TH/N_/57,11363,6010,5353,5324
654,ทต.ป่าแงะ,TH/N_/57/ทต.ป่าแงะ,TH/N_/57,7623,3879,3744,3047
655,ทต.ป่าแดง,TH/CT/65/ทต.ป่าแดง,TH/CT/65,5356,2737,2619,2564
656,ทต.ป่าแดด,TH/N_/57/ทต.ป่าแดด,TH/N_/57,6357,3248,3109,2408
657,ทต.ป่าแดด,TH/N_/เชียงใหม่/ทต.ป่าแดด,TH/N_/เชียงใหม่,17567,9471,8096,10832
658,ทต.ป่าแมต,TH/N_/54/ทต.ป่าแมต,TH/N_/54,12043,6405,5638,4899
659,ทต.ป่าโมก,TH/CT/15/ทต.ป่าโมก,TH/CT/15,8898,4622,4276,3593
660,ทต.ป่าไผ่,TH/N_/เชียงใหม่/ทต.ป่าไผ่,TH/N_/เชียงใหม่,13651,7178,6473,6053
661,ทต.ป๊อกแป๊ก,TH/CT/19/ทต.ป๊อกแป๊ก,TH/CT/19,721,386,335,412
662,ทต.ผาจุก,TH/N_/53/ทต.ผาจุก,TH/N_/53,8093,4164,3929,3029
663,ทต.ผาสุก,TH/NE/41/ทต.ผาสุก,TH/NE/41,15841,7770,8071,4714
664,ทต.ฝายกวาง,TH/N_/56/ทต.ฝายกวาง,TH/N_/56,8838,4543,4295,3756
665,ทต.พญาเม็งราย,TH/N_/57/ทต.พญาเม็งราย,TH/N_/57,4217,2193,2024,2209
666,ทต.พนม,TH/S_/84/ทต.พนม,TH/S_/84,4930,2450,2480,1982
667,ทต.พนมทวน,TH/W_/71/ทต.พนมทวน,TH/W_/71,5226,2756,2470,2179
668,ทต.พนมรุ้ง,TH/NE/31/ทต.พนมรุ้ง,TH/NE/31,11836,6107,5729,3849
669,ทต.พนมสารคาม,TH/E_/24/ทต.พนมสารคาม,TH/E_/24,6457,3465,2992,4216
670,ทต.พนมไพร,TH/NE/45/ทต.พนมไพร,TH/NE/45,4181,2139,2042,1770
671,ทต.พนา,TH/NE/37/ทต.พนา,TH/NE/37,2734,1441,1293,1104
672,ทต.พบพระ,TH/W_/63/ทต.พบพระ,TH/W_/63,6350,3075,3275,2702
673,ทต.พยัคฆภูมิพิสัย,TH/NE/44/ทต.พยัคฆภูมิพิสัย,TH/NE/44,8040,4220,3820,4178
674,ทต.พยุหะ,TH/CT/60/ทต.พยุหะ,TH/CT/60,5611,3010,2601,2965
675,ทต.พยุห์,TH/NE/33/ทต.พยุห์,TH/NE/33,3914,1973,1941,1401
676,ทต.พรรณานิคม,TH/NE/47/ทต.พรรณานิคม,TH/NE/47,2433,1286,1147,1448
677,ทต.พรหมบุรี,TH/CT/17/ทต.พรหมบุรี,TH/CT/17,3173,1645,1528,1301
678,ทต.พรหมพิราม,TH/CT/65/ทต.พรหมพิราม,TH/CT/65,1127,599,528,544
679,ทต.พรหมโลก,TH/S_/นครศรีธรรมราช/ทต.พรหมโลก,TH/S_/นครศรีธรรมราช,6789,3440,3349,2677
680,ทต.พระทองคำ,TH/NE/30/ทต.พระทองคำ,TH/NE/30,4084,2085,1999,1637
681,ทต.พระธาตุปู่ก่ำ,TH/N_/เชียงใหม่/ทต.พระธาตุปู่ก่ำ,TH/N_/เชียงใหม่,2352,1195,1157,1103
682,ทต.พระยืน,TH/NE/ขอนแก่น/ทต.พระยืน,TH/NE/ขอนแก่น,3316,1730,1586,1455
683,ทต.พระสมุทรเจดีย์,TH/CT/11/ทต.พระสมุทรเจดีย์,TH/CT/11,12081,6150,5931,5697
684,ทต.พระอินทราชา,TH/CT/14/ทต.พระอินทราชา,TH/CT/14,9439,4949,4490,6309
685,ทต.พระเหลา,TH/NE/37/ทต.พระเหลา,TH/NE/37,6056,3037,3019,2144
686,ทต.พระแท่น,TH/W_/71/ทต.พระแท่น,TH/W_/71,6179,3219,2960,2118
