index,labels,ids,parents,pop_MF,pop_F,pop_M,hholds
221,ทต.ด่านช้าง,TH/CT/72/ทต.ด่านช้าง,TH/CT/72,6320,3293,3027,3341
222,ทต.ด่านซ้าย,TH/NE/42/ทต.ด่านซ้าย,TH/NE/42,3418,1740,1678,1932
223,ทต.ด่านทับตะโก,TH/W_/70/ทต.ด่านทับตะโก,TH/W_/70,2453,1212,1241,825
224,ทต.ด่านมะขามเตี้ย,TH/W_/71/ทต.ด่านมะขามเตี้ย,TH/W_/71,2495,1257,1238,1255
225,ทต.ด่านสำโรง,TH/CT/11/ทต.ด่านสำโรง,TH/CT/11,54918,29230,25688,25203
226,ทต.ด่านเกวียน,TH/NE/30/ทต.ด่านเกวียน,TH/NE/30,9780,5004,4776,4295
227,ทต.ตกพรม,TH/E_/22/ทต.ตกพรม,TH/E_/22,4154,2148,2006,1584
228,ทต.ตรอน,TH/N_/53/ทต.ตรอน,TH/N_/53,1680,869,811,675
229,ทต.ตระการพืชผล,TH/NE/34/ทต.ตระการพืชผล,TH/NE/34,9053,4627,4426,4307
230,ทต.ตลาดนิคมปราสาท,TH/NE/31/ทต.ตลาดนิคมปราสาท,TH/NE/31,4784,2456,2328,1726
231,ทต.ตลาดเขต,TH/W_/71/ทต.ตลาดเขต,TH/W_/71,4102,2173,1929,1789
232,ทต.ตลาดแค,TH/NE/30/ทต.ตลาดแค,TH/NE/30,3319,1738,1581,1313
233,ทต.ตลาดไชยา,TH/S_/84/ทต.ตลาดไชยา,TH/S_/84,5287,2802,2485,2930
234,ทต.ตลุกดู่,TH/CT/61/ทต.ตลุกดู่,TH/CT/61,11296,5802,5494,3634
235,ทต.ตองโขบ,TH/NE/47/ทต.ตองโขบ,TH/NE/47,12611,6388,6223,5651
236,ทต.ตะกาง,TH/E_/23/ทต.ตะกาง,TH/E_/23,2611,1338,1273,1334
237,ทต.ตะกุด,TH/CT/19/ทต.ตะกุด,TH/CT/19,4757,2405,2352,2189
238,ทต.ตะขบ,TH/NE/30/ทต.ตะขบ,TH/NE/30,5259,2688,2571,1874
239,ทต.ตะค่า,TH/CT/72/ทต.ตะค่า,TH/CT/72,5508,2863,2645,1909
240,ทต.ตะเคียนทอง,TH/E_/22/ทต.ตะเคียนทอง,TH/E_/22,4590,2269,2321,1814
241,ทต.ตะเคียนเตี้ย,TH/E_/ชลบุรี/ทต.ตะเคียนเตี้ย,TH/E_/ชลบุรี,24191,12544,11647,12241
242,ทต.ตะโหมด,TH/S_/93/ทต.ตะโหมด,TH/S_/93,4329,2209,2120,1549
243,ทต.ตันหยง,TH/S_/94/ทต.ตันหยง,TH/S_/94,2806,1485,1321,730
244,ทต.ตันหยงมัส,TH/S_/96/ทต.ตันหยงมัส,TH/S_/96,7054,3652,3402,3808
245,ทต.ตากฟ้า,TH/CT/60/ทต.ตากฟ้า,TH/CT/60,5472,2828,2644,2738
246,ทต.ตาจง,TH/NE/31/ทต.ตาจง,TH/NE/31,16584,8229,8355,4309
247,ทต.ตาพระยา,TH/E_/27/ทต.ตาพระยา,TH/E_/27,2644,1337,1307,1145
248,ทต.ตาลสุม,TH/NE/34/ทต.ตาลสุม,TH/NE/34,3237,1633,1604,1066
249,ทต.ตาลเลียน,TH/NE/41/ทต.ตาลเลียน,TH/NE/41,3718,1840,1878,878
250,ทต.ต้นคราม,TH/CT/72/ทต.ต้นคราม,TH/CT/72,5506,2890,2616,2025
251,ทต.ต้นไทร,TH/S_/96/ทต.ต้นไทร,TH/S_/96,4902,2564,2338,1354
252,ทต.ถนนใหญ่,TH/CT/16/ทต.ถนนใหญ่,TH/CT/16,11018,5022,5996,4730
253,ทต.ถอนสมอ,TH/CT/17/ทต.ถอนสมอ,TH/CT/17,8748,4568,4180,3405
254,ทต.ถาวร,TH/NE/31/ทต.ถาวร,TH/NE/31,7653,3841,3812,2175
255,ทต.ทรายขาว,TH/E_/22/ทต.ทรายขาว,TH/E_/22,11326,5724,5602,6318
256,ทต.ทรายมูล,TH/NE/35/ทต.ทรายมูล,TH/NE/35,6270,3223,3047,2094
257,ทต.ทองผาภูมิ,TH/W_/71/ทต.ทองผาภูมิ,TH/W_/71,3095,1513,1582,1569
258,ทต.ทองแสนขัน,TH/N_/53/ทต.ทองแสนขัน,TH/N_/53,4569,2351,2218,1807
259,ทต.ทอนหงส์,TH/S_/นครศรีธรรมราช/ทต.ทอนหงส์,TH/S_/นครศรีธรรมราช,3429,1710,1719,1050
260,ทต.ทะเมนชัย,TH/NE/31/ทต.ทะเมนชัย,TH/NE/31,4381,2206,2175,1247
261,ทต.ทับกฤช,TH/CT/60/ทต.ทับกฤช,TH/CT/60,2162,1134,1028,820
262,ทต.ทับคล้อ,TH/CT/66/ทต.ทับคล้อ,TH/CT/66,4448,2321,2127,1753
263,ทต.ทับช้าง,TH/E_/22/ทต.ทับช้าง,TH/E_/22,16373,8113,8260,6030
264,ทต.ทับปุด,TH/S_/82/ทต.ทับปุด,TH/S_/82,1025,528,497,650
